COP 3212 | Introduction to CIS
CDA 3101 | Intro. to Computer Organization
COT 3001 | Applications of Discrete Structures
COP 3530 | Data and Program Structures
COP 3606 | Intro. to Software Engineering
COP 4600 | Systems Programming
CIS 4914 | Computer Engineering Design
MAS 3114 | Linear Algebra
COT 4501 | Numerical Analysis - A Computational Approach
STA 4321 | Mathematical Statistics
BEL 3111 | Circuits 1
BEL 3112 | Circuits 2
EEL 3304 | Electronic Circuits 1
EEL 3303L | Electrical Circuits Lab
BEL 4300L | Electronics Lab
BEL 3701C | Intro. to Digital Systems
EEL 4712C | Digital Design
BEL 4744 | Microprocessor Applications
EEL 3396 | Solid State Elec. Devices
EGM 3500 | Elements of Statics
EML 3100 | Thermodynamics 1
MAC 2311 | Anal Geometry & Calc 1 (GE-M)
MAC 2312 | Anal Geometry & Calc 2 (GE-M)
MAC 2313 | Anal Geometry & Calc 3 (GE-M)
